Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst03,28,149.2,0.9
Standard,Inst03,29,174.8,0.914
Standard,Inst03,30,136.3,0.916
Standard,Inst04,1,144.1,0.914
Standard,Inst04,2,173.6,0.933
Standard,Inst04,3,149.1,0.88
Standard,Inst04,4,160.2,0.935
Standard,Inst04,5,169.6,0.927
Standard,Inst04,6,167.4,0.94
Standard,Inst04,7,166.5,0.914
Standard,Inst04,8,145.1,0.927
Standard,Inst04,9,164.5,0.95
Standard,Inst04,10,180.6,0.92
Standard,Inst04,11,152.4,0.906
Standard,Inst04,12,182.1,0.911
Standard,Inst04,13,186.2,0.942
Standard,Inst04,14,193.4,0.91
Standard,Inst04,15,138.5,0.921
Standard,Inst04,16,143.6,0.913
Standard,Inst04,17,189.1,0.914
Standard,Inst04,18,147,0.915
Standard,Inst04,19,131.3,0.918
Standard,Inst04,20,180.1,0.921
Standard,Inst04,21,183.6,0.903
Standard,Inst04,22,159.1,0.885
Standard,Inst04,23,165.9,0.922
Standard,Inst04,24,181.8,0.911
Standard,Inst04,25,194,0.921
Standard,Inst04,26,173.5,0.923
Standard,Inst04,27,154.6,0.918
Standard,Inst04,28,169.8,0.893
Standard,Inst04,29,159.3,0.916
Standard,Inst04,30,169.7,0.922
Standard,Inst05,1,154.3,0.898
Standard,Inst05,2,178.1,0.878
Standard,Inst05,3,162.5,0.869
Standard,Inst05,4,186.8,0.909
Standard,Inst05,5,148.2,0.856
Standard,Inst05,6,174.3,0.871
Standard,Inst05,7,174.4,0.891
Standard,Inst05,8,215.4,0.886
Standard,Inst05,9,161.9,0.893
Standard,Inst05,10,180.7,0.89
Standard,Inst05,11,136.8,0.866
Standard,Inst05,12,201.6,0.918
Standard,Inst05,13,161.2,0.89
Standard,Inst05,14,170.9,0.863
Standard,Inst05,15,159.9,0.869
Standard,Inst05,16,141.7,0.867
Standard,Inst05,17,170.1,0.859
Standard,Inst05,18,147.3,0.905
Standard,Inst05,19,150.8,0.878
Standard,Inst05,20,166.6,0.913
Standard,Inst05,21,151.5,0.851
Standard,Inst05,22,192.8,0.863
Standard,Inst05,23,164,0.895
Standard,Inst05,24,156.6,0.874
Standard,Inst05,25,134.4,0.899
Standard,Inst05,26,160.8,0.862
Standard,Inst05,27,174.1,0.879
Standard,Inst05,28,187.8,0.909
Standard,Inst05,29,185.5,0.9
Standard,Inst05,30,141.2,0.856
Standard,Inst06,1,161.4,0.868
Standard,Inst06,2,198.2,0.852
Standard,Inst06,3,204.9,0.857
Standard,Inst06,4,145.1,0.854
Standard,Inst06,5,186.1,0.892
Standard,Inst06,6,161.7,0.88
Standard,Inst06,7,116.6,0.871
Standard,Inst06,8,174.3,0.859
Standard,Inst06,9,175.5,0.926
Standard,Inst06,10,193.3,0.904
Standard,Inst06,11,165.2,0.892
Standard,Inst06,12,153.8,0.864
Standard,Inst06,13,192.6,0.889
Standard,Inst06,14,167.4,0.855
Standard,Inst06,15,156.8,0.84
Standard,Inst06,16,161.8,0.877
Standard,Inst06,17,186.4,0.866
Standard,Inst06,18,154.3,0.874
Standard,Inst06,19,149.7,0.895
Standard,Inst06,20,155.8,0.887
Standard,Inst06,21,153.5,0.864
Standard,Inst06,22,171.3,0.862
Standard,Inst06,23,180,0.844
Standard,Inst06,24,163.8,0.852
Standard,Inst06,25,156.6,0.861
Standard,Inst06,26,186.6,0.86
Standard,Inst06,27,140.5,0.834
Standard,Inst06,28,130.7,0.9
Standard,Inst06,29,166.9,0.901
Standard,Inst06,30,191.4,0.858
Standard,Inst07,1,183.5,0.941
Standard,Inst07,2,169.3,0.931
Standard,Inst07,3,182.6,0.92
Standard,Inst07,4,197.6,0.915
Standard,Inst07,5,179.7,0.915
Standard,Inst07,6,175.3,0.95
Standard,Inst07,7,223.8,0.942
Standard,Inst07,8,196.4,0.94
Standard,Inst07,9,186.2,0.914
Standard,Inst07,10,210.9,0.936
Standard,Inst07,11,178.9,0.912
Standard,Inst07,12,171.7,0.927
Standard,Inst07,13,199,0.905
Standard,Inst07,14,181.8,0.926
Standard,Inst07,15,187.5,0.96
Standard,Inst07,16,198.1,0.935
Standard,Inst07,17,204.2,0.949
Standard,Inst07,18,203.3,0.894
Standard,Inst07,19,176.8,0.951
Standard,Inst07,20,192.3,0.954
Standard,Inst07,21,154.4,0.922
Standard,Inst07,22,202.9,0.931
Standard,Inst07,23,173.3,0.912
Standard,Inst07,24,185.9,0.935
Standard,Inst07,25,220.8,0.933
Standard,Inst07,26,202.6,0.888
Standard,Inst07,27,202.6,0.889
Standard,Inst07,28,207.1,0.9
Standard,Inst07,29,196.6,0.933
Standard,Inst07,30,188.5,0.935
Standard,Inst08,1,149.7,0.884
Standard,Inst08,2,152.6,0.874
Standard,Inst08,3,147.3,0.856
Standard,Inst08,4,184,0.932
Standard,Inst08,5,137.4,0.901
Standard,Inst08,6,156.2,0.882
Standard,Inst08,7,163.3,0.885
Standard,Inst08,8,150.4,0.894
Standard,Inst08,9,139.6,0.88
Standard,Inst08,10,168.8,0.875
Standard,Inst08,11,150.4,0.881
Standard,Inst08,12,187.3,0.902
Standard,Inst08,13,154.6,0.868
Standard,Inst08,14,156.3,0.868
Standard,Inst08,15,129,0.887
Standard,Inst08,16,166.7,0.88
Standard,Inst08,17,154.8,0.886
Standard,Inst08,18,110.1,0.875
Standard,Inst08,19,171,0.899
Standard,Inst08,20,183.1,0.889
Standard,Inst08,21,181.9,0.886
Standard,Inst08,22,138.4,0.871
Standard,Inst08,23,141.8,0.864
Standard,Inst08,24,169.6,0.906
Standard,Inst08,25,147,0.907
Standard,Inst08,26,176.8,0.914
Standard,Inst08,27,182.7,0.873
Standard,Inst08,28,140.2,0.876
Standard,Inst08,29,190,0.887
Standard,Inst08,30,148,0.904
Proposed,Inst01,1,40.02,0.848
Proposed,Inst01,2,94.47,0.843
Proposed,Inst01,3,43.22,0.853
Proposed,Inst01,4,81.27,0.825
Proposed,Inst01,5,50.53,0.857
Proposed,Inst01,6,112.3,0.809
Proposed,Inst01,7,101.2,0.807
Proposed,Inst01,8,178.2,0.824
Proposed,Inst01,9,75.1,0.864
Proposed,Inst01,10,54.44,0.833
Proposed,Inst01,11,67.18,0.816
Proposed,Inst01,12,89.66,0.822
Proposed,Inst01,13,97.65,0.841
Proposed,Inst01,14,78.5,0.815
Proposed,Inst01,15,114.3,0.817
Proposed,Inst01,16,85.16,0.853
Proposed,Inst01,17,86.1,0.853
Proposed,Inst01,18,97.76,0.841
Proposed,Inst01,19,92.23,0.821
Proposed,Inst01,20,65.54,0.856
Proposed,Inst01,21,70.28,0.831
Proposed,Inst01,22,119.8,0.846
Proposed,Inst01,23,63.65,0.849
Proposed,Inst01,24,73.89,0.85
Proposed,Inst01,25,93.9,0.853
Proposed,Inst01,26,85.45,0.852
Proposed,Inst01,27,97.31,0.82
Proposed,Inst01,28,99.55,0.845
Proposed,Inst01,29,84,0.856
Proposed,Inst01,30,68.4,0.838
Proposed,Inst02,1,78.69,0.83
Proposed,Inst02,2,136.8,0.846
Proposed,Inst02,3,90.88,0.887
Proposed,Inst02,4,67.73,0.84
Proposed,Inst02,5,102.4,0.86
Proposed,Inst02,6,80.39,0.858
Proposed,Inst02,7,62.57,0.833
Proposed,Inst02,8,84.63,0.848
Proposed,Inst02,9,86.8,0.85
Proposed,Inst02,10,120.1,0.854
Proposed,Inst02,11,80.06,0.857
Proposed,Inst02,12,104.4,0.902
Proposed,Inst02,13,91.95,0.822
Proposed,Inst02,14,113.5,0.853
Proposed,Inst02,15,116.3,0.856
Proposed,Inst02,16,159.5,0.822
Proposed,Inst02,17,106.4,0.854
Proposed,Inst02,18,107.2,0.859
Proposed,Inst02,19,120.9,0.873
Proposed,Inst02,20,65.12,0.848
Proposed,Inst02,21,126.3,0.843
Proposed,Inst02,22,109.9,0.818
Proposed,Inst02,23,98.61,0.884
Proposed,Inst02,24,116.5,0.845
Proposed,Inst02,25,101.3,0.865
Proposed,Inst02,26,123.2,0.886
Proposed,Inst02,27,122.7,0.829
Proposed,Inst02,28,83.31,0.892
Proposed,Inst02,29,53.26,0.819
Proposed,Inst02,30,85.53,0.9
Proposed,Inst03,1,102.5,0.86
Proposed,Inst03,2,101.8,0.872
Proposed,Inst03,3,109.6,0.844
Proposed,Inst03,4,111.4,0.853
Proposed,Inst03,5,120.3,0.842
Proposed,Inst03,6,59.69,0.841
Proposed,Inst03,7,144.7,0.819
Proposed,Inst03,8,70.66,0.859
Proposed,Inst03,9,127.9,0.877
Proposed,Inst03,10,116.3,0.875
Proposed,Inst03,11,120.1,0.861
Proposed,Inst03,12,92.43,0.829
Proposed,Inst03,13,65.41,0.861
Proposed,Inst03,14,94.03,0.881
Proposed,Inst03,15,64.28,0.879
Proposed,Inst03,16,116,0.834
Proposed,Inst03,17,34.87,0.851
Proposed,Inst03,18,76.76,0.832
Proposed,Inst03,19,151.4,0.861
Proposed,Inst03,20,119.5,0.851
Proposed,Inst03,21,109.1,0.854
Proposed,Inst03,22,106.3,0.834
Proposed,Inst03,23,150.8,0.868
Proposed,Inst03,24,135.8,0.852
Proposed,Inst03,25,79.33,0.848
Proposed,Inst03,26,58.11,0.867
Proposed,Inst03,27,111.9,0.829
Proposed,Inst03,28,112.8,0.846
Proposed,Inst03,29,143,0.865
Proposed,Inst03,30,80.82,0.864
Proposed,Inst04,1,178.7,0.837
Proposed,Inst04,2,111.9,0.847
Proposed,Inst04,3,90.94,0.8
Proposed,Inst04,4,107.3,0.842
Proposed,Inst04,5,122.4,0.826
Proposed,Inst04,6,135.9,0.819
Proposed,Inst04,7,128.5,0.822
Proposed,Inst04,8,118.3,0.776
Proposed,Inst04,9,124.3,0.808
Proposed,Inst04,10,89.99,0.809
Proposed,Inst04,11,170.1,0.775
Proposed,Inst04,12,113.3,0.809
Proposed,Inst04,13,70.5,0.834
Proposed,Inst04,14,98.6,0.834
Proposed,Inst04,15,134.1,0.798
Proposed,Inst04,16,138.7,0.819
Proposed,Inst04,17,162.4,0.793
Proposed,Inst04,18,126.6,0.818
Proposed,Inst04,19,132,0.809
Proposed,Inst04,20,123.4,0.807
Proposed,Inst04,21,175.5,0.825
Proposed,Inst04,22,112.2,0.81
Proposed,Inst04,23,133.3,0.777
Proposed,Inst04,24,154.8,0.829
Proposed,Inst04,25,151,0.828
Proposed,Inst04,26,176.7,0.847
Proposed,Inst04,27,88.35,0.846
Proposed,Inst04,28,102.5,0.833
Proposed,Inst04,29,142.5,0.822
Proposed,Inst04,30,153.7,0.856
Proposed,Inst05,1,55.17,0.919
Proposed,Inst05,2,64.77,0.871
Proposed,Inst05,3,72.65,0.923
Proposed,Inst05,4,35.47,0.842
Proposed,Inst05,5,91.33,0.889
Proposed,Inst05,6,100.3,0.884
Proposed,Inst05,7,46.64,0.884
Proposed,Inst05,8,105,0.886
Proposed,Inst05,9,51.14,0.886
Proposed,Inst05,10,81.88,0.854
Proposed,Inst05,11,102.9,0.894
Proposed,Inst05,12,92.18,0.876
Proposed,Inst05,13,29.24,0.919
Proposed,Inst05,14,52.83,0.867
Proposed,Inst05,15,77.43,0.874
Proposed,Inst05,16,75.11,0.873
Proposed,Inst05,17,14.8,0.895
Proposed,Inst05,18,63.07,0.846
Proposed,Inst05,19,51.73,0.9
Proposed,Inst05,20,75.02,0.894
Proposed,Inst05,21,47.81,0.886
Proposed,Inst05,22,56.03,0.854
Proposed,Inst05,23,103.3,0.882
Proposed,Inst05,24,104.6,0.917
Proposed,Inst05,25,63.3,0.868
Proposed,Inst05,26,79.45,0.883
Proposed,Inst05,27,99.41,0.868
Proposed,Inst05,28,50.09,0.902
Proposed,Inst05,29,63.43,0.872
Proposed,Inst05,30,116,0.908
Proposed,Inst06,1,82.72,0.862
Proposed,Inst06,2,79.6,0.857
Proposed,Inst06,3,47.39,0.853
Proposed,Inst06,4,105.6,0.856
Proposed,Inst06,5,74.65,0.848
Proposed,Inst06,6,157.3,0.883
Proposed,Inst06,7,64.47,0.845
Proposed,Inst06,8,45.02,0.829
Proposed,Inst06,9,82.99,0.917
Proposed,Inst06,10,58.66,0.848
Proposed,Inst06,11,88.36,0.862
Proposed,Inst06,12,41.63,0.84
Proposed,Inst06,13,58.92,0.835
Proposed,Inst06,14,113.3,0.853
Proposed,Inst06,15,116.9,0.874
Proposed,Inst06,16,131.4,0.832
Proposed,Inst06,17,75.86,0.849
Proposed,Inst06,18,83.21,0.845
Proposed,Inst06,19,81.37,0.876
Proposed,Inst06,20,36.41,0.86
Proposed,Inst06,21,49.86,0.869
Proposed,Inst06,22,68.33,0.853
Proposed,Inst06,23,125.6,0.88
Proposed,Inst06,24,44.87,0.819
Proposed,Inst06,25,111.3,0.849
Proposed,Inst06,26,179.6,0.861
Proposed,Inst06,27,121.5,0.869
Proposed,Inst06,28,53.98,0.858
Proposed,Inst06,29,103.2,0.859
Proposed,Inst06,30,94.7,0.887
Proposed,Inst07,1,137.2,0.839
Proposed,Inst07,2,86.85,0.838
Proposed,Inst07,3,146.1,0.877
Proposed,Inst07,4,95.44,0.839
Proposed,Inst07,5,140,0.872
Proposed,Inst07,6,141.3,0.866
Proposed,Inst07,7,130.2,0.858
Proposed,Inst07,8,124.3,0.814
Proposed,Inst07,9,108.9,0.828
Proposed,Inst07,10,143.9,0.871
Proposed,Inst07,11,123,0.883
Proposed,Inst07,12,83.23,0.899
Proposed,Inst07,13,125.2,0.86
Proposed,Inst07,14,190.4,0.844
Proposed,Inst07,15,115.8,0.839
Proposed,Inst07,16,51.47,0.868
Proposed,Inst07,17,95.62,0.864
Proposed,Inst07,18,67.88,0.835
Proposed,Inst07,19,134.5,0.858
Proposed,Inst07,20,109.9,0.833
Proposed,Inst07,21,131.4,0.857
Proposed,Inst07,22,118.2,0.85
Proposed,Inst07,23,123.4,0.837
Proposed,Inst07,24,79.66,0.847
Proposed,Inst07,25,111.7,0.834
Proposed,Inst07,26,219.2,0.857
Proposed,Inst07,27,105,0.895
Proposed,Inst07,28,148.1,0.855
Proposed,Inst07,29,122.5,0.853
Proposed,Inst07,30,145.6,0.846
Proposed,Inst08,1,117.1,0.88
Proposed,Inst08,2,107.9,0.868
Proposed,Inst08,3,114.9,0.856
Proposed,Inst08,4,72.81,0.862
Proposed,Inst08,5,52.26,0.88
Proposed,Inst08,6,94.2,0.84
Proposed,Inst08,7,141.8,0.842
Proposed,Inst08,8,76.93,0.877
Proposed,Inst08,9,134.9,0.843
Proposed,Inst08,10,163.5,0.834
Proposed,Inst08,11,106.3,0.854
Proposed,Inst08,12,121.1,0.88
Proposed,Inst08,13,72.62,0.872
Proposed,Inst08,14,96.35,0.851
Proposed,Inst08,15,71.22,0.831
Proposed,Inst08,16,103.7,0.873
Proposed,Inst08,17,120,0.836
Proposed,Inst08,18,80.56,0.861
Proposed,Inst08,19,90.32,0.879
Proposed,Inst08,20,100.2,0.841
Proposed,Inst08,21,130,0.879
Proposed,Inst08,22,101.2,0.885
Proposed,Inst08,23,118.3,0.903
Proposed,Inst08,24,88.68,0.872
Proposed,Inst08,25,113.9,0.877
Proposed,Inst08,26,92.61,0.871
Proposed,Inst08,27,93.24,0.871
Proposed,Inst08,28,88.31,0.843
Proposed,Inst08,29,53.92,0.853
Proposed,Inst08,30,84.7,0.843
Standard,Inst1,1,118.7,0.871
Standard,Inst1,2,147.1,0.867
Standard,Inst1,3,172.6,0.864
Standard,Inst1,4,134.2,0.865
Standard,Inst1,5,136.8,0.882
Standard,Inst1,6,166.3,0.862
Standard,Inst1,7,141.8,0.879
Standard,Inst1,8,152.9,0.829
Standard,Inst1,9,162.3,0.877
Standard,Inst1,10,160.1,0.909
Standard,Inst1,11,159.2,0.857
Standard,Inst1,12,137.9,0.843
Standard,Inst1,13,157.3,0.892
Standard,Inst1,14,173.3,0.855
Standard,Inst1,15,145.1,0.892
Standard,Inst1,16,174.8,0.842
Standard,Inst1,17,178.9,0.838
Standard,Inst1,18,186.1,0.849
Standard,Inst1,19,131.2,0.863
Standard,Inst1,20,136.3,0.88
Standard,Inst1,21,181.8,0.831
Standard,Inst1,22,139.7,0.864
Standard,Inst1,23,124,0.862
Standard,Inst1,24,172.8,0.83
Standard,Inst1,25,176.3,0.838
Standard,Inst1,26,151.8,0.832
Standard,Inst1,27,158.6,0.875
Standard,Inst1,28,174.5,0.873
Standard,Inst1,29,186.7,0.84
Standard,Inst1,30,166.2,0.866
Standard,Inst2,1,145.2,0.892
Standard,Inst2,2,160.3,0.932
Standard,Inst2,3,149.8,0.911
Standard,Inst2,4,160.2,0.871
Standard,Inst2,5,143.9,0.873
Standard,Inst2,6,167.6,0.878
Standard,Inst2,7,152.1,0.853
Standard,Inst2,8,176.4,0.876
Standard,Inst2,9,137.7,0.888
Standard,Inst2,10,163.9,0.894
Standard,Inst2,11,164,0.911
Standard,Inst2,12,205,0.852
Standard,Inst2,13,151.4,0.904
Standard,Inst2,14,170.3,0.886
Standard,Inst2,15,126.3,0.912
Standard,Inst2,16,191.2,0.888
Standard,Inst2,17,150.8,0.899
Standard,Inst2,18,160.5,0.873
Standard,Inst2,19,149.5,0.881
Standard,Inst2,20,131.3,0.914
Standard,Inst2,21,159.7,0.909
Standard,Inst2,22,136.9,0.892
Standard,Inst2,23,140.4,0.871
Standard,Inst2,24,156.2,0.874
Standard,Inst2,25,141.1,0.897
Standard,Inst2,26,182.4,0.874
Standard,Inst2,27,153.6,0.882
Standard,Inst2,28,146.2,0.88
Standard,Inst2,29,124,0.87
Standard,Inst2,30,150.4,0.885
Standard,Inst3,1,168,0.945
Standard,Inst3,2,181.7,0.905
Standard,Inst3,3,179.4,0.932
Standard,Inst3,4,135.1,0.915
Standard,Inst3,5,155,0.901
Standard,Inst3,6,191.8,0.916
Standard,Inst3,7,198.6,0.929
Standard,Inst3,8,138.8,0.917
Standard,Inst3,9,179.8,0.906
Standard,Inst3,10,155.4,0.939
Standard,Inst3,11,110.2,0.898
Standard,Inst3,12,168,0.9
Standard,Inst3,13,169.2,0.905
Standard,Inst3,14,187,0.944
Standard,Inst3,15,158.9,0.874
Standard,Inst3,16,147.5,0.913
Standard,Inst3,17,186.2,0.914
Standard,Inst3,18,161,0.91
Standard,Inst3,19,150.4,0.888
Standard,Inst3,20,155.5,0.92
Standard,Inst3,21,180.1,0.923
Standard,Inst3,22,148,0.874
Standard,Inst3,23,143.4,0.869
Standard,Inst3,24,149.5,0.92
Standard,Inst3,25,147.2,0.866
Standard,Inst3,26,164.9,0.925
Standard,Inst3,27,173.7,0.954
Standard,Inst3,28,157.4,0.896
Standard,Inst3,29,150.3,0.903
Standard,Inst3,30,180.2,0.908
Standard,Inst4,1,139.3,0.882
Standard,Inst4,2,129.5,0.91
Standard,Inst4,3,165.7,0.913
Standard,Inst4,4,190.2,0.898
Standard,Inst4,5,160.6,0.904
Standard,Inst4,6,146.4,0.917
Standard,Inst4,7,159.7,0.879
Standard,Inst4,8,174.7,0.894
Standard,Inst4,9,156.8,0.915
Standard,Inst4,10,152.3,0.918
Standard,Inst4,11,200.9,0.908
Standard,Inst4,12,173.5,0.873
Standard,Inst4,13,163.2,0.893
Standard,Inst4,14,188,0.906
Standard,Inst4,15,156,0.912
Standard,Inst4,16,148.8,0.886
Standard,Inst4,17,176.1,0.895
Standard,Inst4,18,158.9,0.868
Standard,Inst4,19,164.6,0.881
Standard,Inst4,20,175.2,0.848
Standard,Inst4,21,181.3,0.888
Standard,Inst4,22,180.4,0.893
Standard,Inst4,23,153.9,0.898
Standard,Inst4,24,169.4,0.924
Standard,Inst4,25,131.5,0.924
Standard,Inst4,26,180,0.912
Standard,Inst4,27,150.4,0.9
Standard,Inst4,28,163,0.903
Standard,Inst4,29,197.9,0.888
Standard,Inst4,30,179.7,0.894
Standard,Inst5,1,180.7,0.936
Standard,Inst5,2,185.1,0.963
Standard,Inst5,3,174.7,0.931
Standard,Inst5,4,166.5,0.936
Standard,Inst5,5,161.1,0.942
Standard,Inst5,6,164,0.952
Standard,Inst5,7,158.7,0.925
Standard,Inst5,8,195.4,0.915
Standard,Inst5,9,148.8,0.944
Standard,Inst5,10,167.6,0.925
Standard,Inst5,11,174.7,0.927
Standard,Inst5,12,161.8,0.957
Standard,Inst5,13,151,0.915
Standard,Inst5,14,180.3,0.937
Standard,Inst5,15,161.8,0.936
Standard,Inst5,16,198.7,0.934
Standard,Inst5,17,166,0.907
Standard,Inst5,18,167.7,0.923
Standard,Inst5,19,140.4,0.93
Standard,Inst5,20,178.1,0.922
Standard,Inst5,21,166.2,0.95
Standard,Inst5,22,121.5,0.933
Standard,Inst5,23,182.4,0.948
Standard,Inst5,24,194.5,0.901
Standard,Inst5,25,193.3,0.944
Standard,Inst5,26,149.8,0.945
Standard,Inst5,27,153.2,0.958
Standard,Inst5,28,181,0.943
Standard,Inst5,29,158.4,0.886
Standard,Inst5,30,188.2,0.949
Standard,Inst6,1,194.4,0.838
Standard,Inst6,2,151.8,0.857
Standard,Inst6,3,201.7,0.868
Standard,Inst6,4,159.7,0.869
Standard,Inst6,5,147.3,0.855
Standard,Inst6,6,174.4,0.896
Standard,Inst6,7,173,0.859
Standard,Inst6,8,190.4,0.866
Standard,Inst6,9,152.5,0.877
Standard,Inst6,10,146,0.867
Standard,Inst6,11,188.8,0.934
Standard,Inst6,12,162.5,0.88
Standard,Inst6,13,142,0.882
Standard,Inst6,14,178.3,0.845
Standard,Inst6,15,144.1,0.891
Standard,Inst6,16,169.5,0.895
Standard,Inst6,17,149,0.885
Standard,Inst6,18,190.1,0.913
Standard,Inst6,19,182.7,0.878
Standard,Inst6,20,234.1,0.896
Standard,Inst6,21,165.4,0.882
Standard,Inst6,22,151.6,0.857
Standard,Inst6,23,160.1,0.885
Standard,Inst6,24,175.1,0.856
Standard,Inst6,25,180.4,0.875
Standard,Inst6,26,167.6,0.843
Standard,Inst6,27,191.5,0.867
Standard,Inst6,28,172.1,0.917
Standard,Inst6,29,172.7,0.906
Standard,Inst6,30,180.5,0.875
Standard,Inst7,1,198.5,0.94
Standard,Inst7,2,180.7,0.98
Standard,Inst7,3,183.8,0.948
Standard,Inst7,4,216.8,0.943
Standard,Inst7,5,179.4,0.974
Standard,Inst7,6,186.2,0.97
Standard,Inst7,7,199.6,0.915
Standard,Inst7,8,194,0.923
Standard,Inst7,9,201.9,0.942
Standard,Inst7,10,203.4,0.953
Standard,Inst7,11,193,0.933
Standard,Inst7,12,182.6,0.942
Standard,Inst7,13,171.4,0.943
Standard,Inst7,14,210.1,0.956
Standard,Inst7,15,179.5,0.974
Standard,Inst7,16,164.1,0.941
Standard,Inst7,17,187.2,0.941
Standard,Inst7,18,172.5,0.942
Standard,Inst7,19,160.6,0.964
Standard,Inst7,20,175.3,0.924
Standard,Inst7,21,176.8,0.98
Standard,Inst7,22,199,0.969
Standard,Inst7,23,172.3,0.957
Standard,Inst7,24,188.5,0.96
Standard,Inst7,25,180.2,0.935
Standard,Inst7,26,194.6,0.944
Standard,Inst7,27,196.4,0.924
Standard,Inst7,28,225.3,0.933
Standard,Inst7,29,189.9,0.906
Standard,Inst7,30,190.4,0.922
Standard,Inst8,1,166.2,0.939
Standard,Inst8,2,129,0.955
Standard,Inst8,3,169.8,0.917
Standard,Inst8,4,158.9,0.93
Standard,Inst8,5,151.3,0.947
Standard,Inst8,6,163.2,0.964
Standard,Inst8,7,153.1,0.951
Standard,Inst8,8,167.7,0.919
Standard,Inst8,9,167.3,0.922
Standard,Inst8,10,141.1,0.927
Standard,Inst8,11,121.1,0.942
Standard,Inst8,12,142.6,0.935
Standard,Inst8,13,154.8,0.953
Standard,Inst8,14,154.4,0.924
Standard,Inst8,15,159.5,0.922
Standard,Inst8,16,160.7,0.904
Standard,Inst8,17,166.7,0.94
Standard,Inst8,18,126.3,0.939
Standard,Inst8,19,183,0.927
Standard,Inst8,20,133.6,0.94
Standard,Inst8,21,171.7,0.942
Standard,Inst8,22,164,0.958
Standard,Inst8,23,166.5,0.956
Standard,Inst8,24,148.1,0.933
Standard,Inst8,25,130.1,0.94
Standard,Inst8,26,149.2,0.915
Standard,Inst8,27,129.3,0.947
Standard,Inst8,28,163.8,0.931
Standard,Inst8,29,109.7,0.98
Standard,Inst8,30,137.6,0.94
Standard,Inst9,1,217.1,0.904
Standard,Inst9,2,195.9,0.872
Standard,Inst9,3,188.9,0.918
Standard,Inst9,4,187,0.888
Standard,Inst9,5,216.7,0.866
Standard,Inst9,6,206.7,0.881
Standard,Inst9,7,169.1,0.92
Standard,Inst9,8,154.9,0.892
